"utility","month","year","production_mgd"
"Fairfax Water","January",2010,131
"Fairfax Water","January",2011,129
"Fairfax Water","January",2012,128
"Fairfax Water","January",2013,128
"Fairfax Water","January",2014,134
"Fairfax Water","January",2015,130
"Fairfax Water","January",2016,134
"Fairfax Water","January",2017,142
"Fairfax Water","January",2018,147
"Fairfax Water","February",2010,129
"Fairfax Water","February",2011,126
"Fairfax Water","February",2012,123
"Fairfax Water","February",2013,125
"Fairfax Water","February",2014,134
"Fairfax Water","February",2015,133
"Fairfax Water","February",2016,134
"Fairfax Water","February",2017,140
"Fairfax Water","February",2018,136
"Fairfax Water","March",2010,133
"Fairfax Water","March",2011,126
"Fairfax Water","March",2012,130
"Fairfax Water","March",2013,124
"Fairfax Water","March",2014,133
"Fairfax Water","March",2015,131
"Fairfax Water","March",2016,135
"Fairfax Water","March",2017,137
"Fairfax Water","March",2018,136
"Fairfax Water","April",2010,145
"Fairfax Water","April",2011,132
"Fairfax Water","April",2012,148
"Fairfax Water","April",2013,137
"Fairfax Water","April",2014,139
"Fairfax Water","April",2015,135
"Fairfax Water","April",2016,147
"Fairfax Water","April",2017,146
"Fairfax Water","April",2018,145
"Fairfax Water","May",2010,163
"Fairfax Water","May",2011,149
"Fairfax Water","May",2012,158
"Fairfax Water","May",2013,149
"Fairfax Water","May",2014,152
"Fairfax Water","May",2015,161
"Fairfax Water","May",2016,148
"Fairfax Water","May",2017,154
"Fairfax Water","May",2018,163
"Fairfax Water","June",2010,194
"Fairfax Water","June",2011,191
"Fairfax Water","June",2012,184
"Fairfax Water","June",2013,158
"Fairfax Water","June",2014,170
"Fairfax Water","June",2015,162
"Fairfax Water","June",2016,177
"Fairfax Water","June",2017,183
"Fairfax Water","June",2018,167
"Fairfax Water","July",2010,207
"Fairfax Water","July",2011,206
"Fairfax Water","July",2012,202
"Fairfax Water","July",2013,168
"Fairfax Water","July",2014,178
"Fairfax Water","July",2015,165
"Fairfax Water","July",2016,190
"Fairfax Water","July",2017,186
"Fairfax Water","July",2018,189
"Fairfax Water","August",2010,183
"Fairfax Water","August",2011,184
"Fairfax Water","August",2012,181
"Fairfax Water","August",2013,164
"Fairfax Water","August",2014,173
"Fairfax Water","August",2015,183
"Fairfax Water","August",2016,191
"Fairfax Water","August",2017,170
"Fairfax Water","August",2018,174
"Fairfax Water","September",2010,190
"Fairfax Water","September",2011,153
"Fairfax Water","September",2012,165
"Fairfax Water","September",2013,170
"Fairfax Water","September",2014,166
"Fairfax Water","September",2015,181
"Fairfax Water","September",2016,186
"Fairfax Water","September",2017,169
"Fairfax Water","September",2018,153
"Fairfax Water","October",2010,149
"Fairfax Water","October",2011,140
"Fairfax Water","October",2012,142
"Fairfax Water","October",2013,148
"Fairfax Water","October",2014,145
"Fairfax Water","October",2015,146
"Fairfax Water","October",2016,165
"Fairfax Water","October",2017,160
"Fairfax Water","October",2018,144
"Fairfax Water","November",2010,127
"Fairfax Water","November",2011,132
"Fairfax Water","November",2012,127
"Fairfax Water","November",2013,129
"Fairfax Water","November",2014,135
"Fairfax Water","November",2015,135
"Fairfax Water","November",2016,156
"Fairfax Water","November",2017,137
"Fairfax Water","November",2018,130
"Fairfax Water","December",2010,130
"Fairfax Water","December",2011,127
"Fairfax Water","December",2012,125
"Fairfax Water","December",2013,125
"Fairfax Water","December",2014,128
"Fairfax Water","December",2015,132
"Fairfax Water","December",2016,149
"Fairfax Water","December",2017,137
"Fairfax Water","December",2018,127
"Loudoun Water (Total Use)","January",2010,17
"Loudoun Water (Total Use)","January",2011,17
"Loudoun Water (Total Use)","January",2012,17
"Loudoun Water (Total Use)","January",2013,18
"Loudoun Water (Total Use)","January",2014,18
"Loudoun Water (Total Use)","January",2015,17
"Loudoun Water (Total Use)","January",2016,19
"Loudoun Water (Total Use)","January",2017,19
"Loudoun Water (Total Use)","January",2018,20
"Loudoun Water (Total Use)","February",2010,17
"Loudoun Water (Total Use)","February",2011,17
"Loudoun Water (Total Use)","February",2012,17
"Loudoun Water (Total Use)","February",2013,17
"Loudoun Water (Total Use)","February",2014,18
"Loudoun Water (Total Use)","February",2015,19
"Loudoun Water (Total Use)","February",2016,19
"Loudoun Water (Total Use)","February",2017,19
"Loudoun Water (Total Use)","February",2018,19
"Loudoun Water (Total Use)","March",2010,17
"Loudoun Water (Total Use)","March",2011,17
"Loudoun Water (Total Use)","March",2012,18
"Loudoun Water (Total Use)","March",2013,18
"Loudoun Water (Total Use)","March",2014,18
"Loudoun Water (Total Use)","March",2015,18
"Loudoun Water (Total Use)","March",2016,20
"Loudoun Water (Total Use)","March",2017,19
"Loudoun Water (Total Use)","March",2018,20
"Loudoun Water (Total Use)","April",2010,22
"Loudoun Water (Total Use)","April",2011,17
"Loudoun Water (Total Use)","April",2012,23
"Loudoun Water (Total Use)","April",2013,22
"Loudoun Water (Total Use)","April",2014,20
"Loudoun Water (Total Use)","April",2015,20
"Loudoun Water (Total Use)","April",2016,23
"Loudoun Water (Total Use)","April",2017,22
"Loudoun Water (Total Use)","April",2018,22
"Loudoun Water (Total Use)","May",2010,24
"Loudoun Water (Total Use)","May",2011,20
"Loudoun Water (Total Use)","May",2012,25
"Loudoun Water (Total Use)","May",2013,24
"Loudoun Water (Total Use)","May",2014,23
"Loudoun Water (Total Use)","May",2015,25
"Loudoun Water (Total Use)","May",2016,23
"Loudoun Water (Total Use)","May",2017,24
"Loudoun Water (Total Use)","May",2018,25
"Loudoun Water (Total Use)","June",2010,30
"Loudoun Water (Total Use)","June",2011,32
"Loudoun Water (Total Use)","June",2012,30
"Loudoun Water (Total Use)","June",2013,26
"Loudoun Water (Total Use)","June",2014,27
"Loudoun Water (Total Use)","June",2015,28
"Loudoun Water (Total Use)","June",2016,30
"Loudoun Water (Total Use)","June",2017,32
"Loudoun Water (Total Use)","June",2018,28
"Loudoun Water (Total Use)","July",2010,31
"Loudoun Water (Total Use)","July",2011,34
"Loudoun Water (Total Use)","July",2012,33
"Loudoun Water (Total Use)","July",2013,28
"Loudoun Water (Total Use)","July",2014,29
"Loudoun Water (Total Use)","July",2015,27
"Loudoun Water (Total Use)","July",2016,32
"Loudoun Water (Total Use)","July",2017,31
"Loudoun Water (Total Use)","July",2018,32
"Loudoun Water (Total Use)","August",2010,27
"Loudoun Water (Total Use)","August",2011,29
"Loudoun Water (Total Use)","August",2012,28
"Loudoun Water (Total Use)","August",2013,27
"Loudoun Water (Total Use)","August",2014,28
"Loudoun Water (Total Use)","August",2015,30
"Loudoun Water (Total Use)","August",2016,33
"Loudoun Water (Total Use)","August",2017,27
"Loudoun Water (Total Use)","August",2018,29
"Loudoun Water (Total Use)","September",2010,28
"Loudoun Water (Total Use)","September",2011,21
"Loudoun Water (Total Use)","September",2012,25
"Loudoun Water (Total Use)","September",2013,28
"Loudoun Water (Total Use)","September",2014,27
"Loudoun Water (Total Use)","September",2015,28
"Loudoun Water (Total Use)","September",2016,32
"Loudoun Water (Total Use)","September",2017,27
"Loudoun Water (Total Use)","September",2018,24
"Loudoun Water (Total Use)","October",2010,20
"Loudoun Water (Total Use)","October",2011,19
"Loudoun Water (Total Use)","October",2012,21
"Loudoun Water (Total Use)","October",2013,22
"Loudoun Water (Total Use)","October",2014,22
"Loudoun Water (Total Use)","October",2015,22
"Loudoun Water (Total Use)","October",2016,25
"Loudoun Water (Total Use)","October",2017,25
"Loudoun Water (Total Use)","October",2018,22
"Loudoun Water (Total Use)","November",2010,17
"Loudoun Water (Total Use)","November",2011,17
"Loudoun Water (Total Use)","November",2012,18
"Loudoun Water (Total Use)","November",2013,19
"Loudoun Water (Total Use)","November",2014,19
"Loudoun Water (Total Use)","November",2015,19
"Loudoun Water (Total Use)","November",2016,20
"Loudoun Water (Total Use)","November",2017,20
"Loudoun Water (Total Use)","November",2018,19
"Loudoun Water (Total Use)","December",2010,17
"Loudoun Water (Total Use)","December",2011,17
"Loudoun Water (Total Use)","December",2012,17
"Loudoun Water (Total Use)","December",2013,18
"Loudoun Water (Total Use)","December",2014,18
"Loudoun Water (Total Use)","December",2015,18
"Loudoun Water (Total Use)","December",2016,19
"Loudoun Water (Total Use)","December",2017,18
"Loudoun Water (Total Use)","December",2018,19
